boundary_id,date,bin,n
8_11,2025-01-15,-825,0
8_11,2025-01-15,-775,0
8_11,2025-01-15,-725,0
8_11,2025-01-15,-675,0
8_11,2025-01-15,-625,0
8_11,2025-01-15,-575,0
8_11,2025-01-15,-525,2
8_11,2025-01-15,-475,1
8_11,2025-01-15,-425,0
8_11,2025-01-15,-375,1
8_11,2025-01-15,-325,0
8_11,2025-01-15,-275,0
8_11,2025-01-15,-225,0
8_11,2025-01-15,-175,1
8_11,2025-01-15,-125,0
8_11,2025-01-15,-75,0
8_11,2025-01-15,-25,0
8_11,2025-01-15,25,0
8_11,2025-01-15,75,0
8_11,2025-01-15,125,0
8_11,2025-01-15,175,0
8_11,2025-01-15,225,0
8_11,2025-01-15,275,0
8_11,2025-01-15,325,0
8_11,2025-01-15,375,0
8_11,2025-01-15,425,0
8_11,2025-01-15,475,0
8_11,2025-01-15,525,0
8_11,2025-01-15,575,0
8_11,2025-01-15,625,4
8_11,2025-01-15,675,0
8_11,2025-01-15,725,0
8_11,2025-01-15,775,0
8_11,2025-01-15,825,1
8_11,2025-01-15,875,1
8_11,2025-01-15,925,0
8_11,2025-01-15,975,0
8_11,2025-01-15,1025,0
8_11,2025-01-15,1075,2
8_11,2025-01-15,1125,0
8_11,2025-01-15,1175,0
8_11,2025-01-15,1225,0
8_11,2025-01-15,1275,0
8_11,2025-01-15,1325,1
8_11,2025-01-15,1375,0
8_11,2025-01-15,1425,0
8_11,2025-01-15,1475,0
8_11,2025-01-15,1525,0
8_11,2025-01-15,1575,0
8_11,2025-01-15,1625,0
8_11,2025-01-15,1675,0
8_11,2025-01-15,1725,0
8_11,2025-01-15,1775,0
8_11,2025-01-15,1825,0
8_11,2025-01-15,1875,0
8_11,2025-01-15,1925,0
8_11,2025-01-15,1975,1
8_11,2025-01-21,-1975,0
8_11,2025-01-21,-1925,0
8_11,2025-01-21,-1875,0
8_11,2025-01-21,-1825,0
8_11,2025-01-21,-1775,1
8_11,2025-01-21,-1725,0
8_11,2025-01-21,-1675,0
8_11,2025-01-21,-1625,0
8_11,2025-01-21,-1575,0
8_11,2025-01-21,-1525,0
8_11,2025-01-21,-1475,0
8_11,2025-01-21,-1425,0
8_11,2025-01-21,-1375,0
8_11,2025-01-21,-1325,0
8_11,2025-01-21,-1275,0
8_11,2025-01-21,-1225,0
8_11,2025-01-21,-1175,0
8_11,2025-01-21,-1125,0
8_11,2025-01-21,-1075,0
8_11,2025-01-21,-1025,0
8_11,2025-01-21,-975,0
8_11,2025-01-21,-925,0
8_11,2025-01-21,-875,1
8_11,2025-01-21,-825,0
8_11,2025-01-21,-775,0
8_11,2025-01-21,-725,0
8_11,2025-01-21,-675,1
8_11,2025-01-21,-625,1
8_11,2025-01-21,-575,0
8_11,2025-01-21,-525,1
8_11,2025-01-21,-475,0
8_11,2025-01-21,-425,0
8_11,2025-01-21,-375,0
8_11,2025-01-21,-325,0
8_11,2025-01-21,-275,0
8_11,2025-01-21,-225,0
8_11,2025-01-21,-175,0
8_11,2025-01-21,-125,0
8_11,2025-01-21,-75,0
8_11,2025-01-21,-25,0
8_11,2025-01-21,25,0
8_11,2025-01-21,75,0
8_11,2025-01-21,125,0
8_11,2025-01-21,175,0
8_11,2025-01-21,225,0
8_11,2025-01-21,275,1
8_11,2025-01-21,325,1
8_11,2025-01-21,375,0
8_11,2025-01-21,425,0
8_11,2025-01-21,475,0
8_11,2025-01-21,525,1
8_11,2025-01-21,575,0
8_11,2025-01-21,625,1
8_11,2025-01-21,675,0
8_11,2025-01-21,725,1
8_11,2025-01-21,775,0
8_11,2025-01-21,825,0
8_11,2025-01-21,875,1
8_11,2025-01-21,925,0
8_11,2025-01-21,975,0
8_11,2025-01-21,1025,0
8_11,2025-01-21,1075,0
8_11,2025-01-21,1125,0
8_11,2025-01-21,1175,0
8_11,2025-01-21,1225,0
8_11,2025-01-21,1275,1
8_11,2025-01-21,1325,0
8_11,2025-01-21,1375,0
8_11,2025-01-21,1425,0
8_11,2025-01-21,1475,0
8_11,2025-01-21,1525,0
8_11,2025-01-21,1575,0
8_11,2025-01-21,1625,0
8_11,2025-01-21,1675,0
8_11,2025-01-21,1725,0
8_11,2025-01-21,1775,0
8_11,2025-01-21,1825,0
8_11,2025-01-21,1875,0
8_11,2025-01-21,1925,0
8_11,2025-01-21,1975,1
8_11,2025-01-24,-1975,0
8_11,2025-01-24,-1925,0
8_11,2025-01-24,-1875,2
8_11,2025-01-24,-1825,2
8_11,2025-01-24,-1775,0
8_11,2025-01-24,-1725,0
8_11,2025-01-24,-1675,0
8_11,2025-01-24,-1625,0
8_11,2025-01-24,-1575,0
8_11,2025-01-24,-1525,0
8_11,2025-01-24,-1475,0
8_11,2025-01-24,-1425,0
8_11,2025-01-24,-1375,0
8_11,2025-01-24,-1325,0
8_11,2025-01-24,-1275,0
8_11,2025-01-24,-1225,0
8_11,2025-01-24,-1175,0
8_11,2025-01-24,-1125,0
8_11,2025-01-24,-1075,0
8_11,2025-01-24,-1025,0
8_11,2025-01-24,-975,1
8_11,2025-01-24,-925,0
8_11,2025-01-24,-875,0
8_11,2025-01-24,-825,1
8_11,2025-01-24,-775,0
8_11,2025-01-24,-725,0
8_11,2025-01-24,-675,0
8_11,2025-01-24,-625,0
8_11,2025-01-24,-575,0
8_11,2025-01-24,-525,0
8_11,2025-01-24,-475,0
8_11,2025-01-24,-425,0
8_11,2025-01-24,-375,0
8_11,2025-01-24,-325,0
8_11,2025-01-24,-275,0
8_11,2025-01-24,-225,0
8_11,2025-01-24,-175,0
8_11,2025-01-24,-125,0
8_11,2025-01-24,-75,0
8_11,2025-01-24,-25,1
8_11,2025-01-24,25,0
8_11,2025-01-24,75,0
8_11,2025-01-24,125,0
8_11,2025-01-24,175,0
8_11,2025-01-24,225,0
8_11,2025-01-24,275,1
8_11,2025-01-24,325,0
8_11,2025-01-24,375,0
8_11,2025-01-24,425,0
8_11,2025-01-24,475,3
8_11,2025-01-24,525,0
8_11,2025-01-24,575,0
8_11,2025-01-24,625,1
8_11,2025-01-24,675,1
8_11,2025-01-24,725,0
8_11,2025-01-24,775,0
8_11,2025-01-24,825,0
8_11,2025-01-24,875,0
8_11,2025-01-24,925,0
8_11,2025-01-24,975,0
8_11,2025-01-24,1025,0
8_11,2025-01-24,1075,0
8_11,2025-01-24,1125,0
8_11,2025-01-24,1175,1
8_11,2025-01-24,1225,1
8_11,2025-01-24,1275,0
8_11,2025-01-24,1325,0
8_11,2025-01-24,1375,0
8_11,2025-01-24,1425,0
8_11,2025-01-24,1475,0
8_11,2025-01-24,1525,3
8_11,2025-01-24,1575,0
8_11,2025-01-24,1625,1
8_11,2025-01-24,1675,0
8_11,2025-01-24,1725,0
8_11,2025-01-24,1775,0
8_11,2025-01-24,1825,0
8_11,2025-01-24,1875,0
8_11,2025-01-24,1925,0
8_11,2025-01-24,1975,1
8_11,2025-01-30,-1975,0
8_11,2025-01-30,-1925,0
8_11,2025-01-30,-1875,0
8_11,2025-01-30,-1825,0
8_11,2025-01-30,-1775,0
8_11,2025-01-30,-1725,0
8_11,2025-01-30,-1675,0
8_11,2025-01-30,-1625,0
8_11,2025-01-30,-1575,0
8_11,2025-01-30,-1525,0
8_11,2025-01-30,-1475,0
8_11,2025-01-30,-1425,0
8_11,2025-01-30,-1375,0
8_11,2025-01-30,-1325,0
8_11,2025-01-30,-1275,0
8_11,2025-01-30,-1225,0
8_11,2025-01-30,-1175,0
8_11,2025-01-30,-1125,1
8_11,2025-01-30,-1075,0
8_11,2025-01-30,-1025,0
8_11,2025-01-30,-975,0
8_11,2025-01-30,-925,0
8_11,2025-01-30,-875,0
8_11,2025-01-30,-825,0
8_11,2025-01-30,-775,0
8_11,2025-01-30,-725,2
8_11,2025-01-30,-675,0
8_11,2025-01-30,-625,0
